date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-04-04,123.50377283012335,1.0,buy,buy,sell,hold
2023-04-06,124.48444146596387,1.0,buy,sell,buy,hold
2023-04-06,124.5223568471257,-1.0,sell,buy,sell,hold
2023-04-06,123.78618431042315,1.0,buy,buy,sell,hold
2023-04-06,124.34593498435153,0.0,hold,sell,buy,hold
2023-04-11,124.35137956851497,0.0,hold,buy,sell,hold
2023-04-11,124.38573727283514,-1.0,sell,buy,sell,hold
2023-04-13,124.7360041448705,1.0,buy,buy,sell,hold
2023-04-14,124.27074298784764,1.0,buy,buy,sell,hold
2023-04-14,123.30270002269287,0.0,hold,sell,buy,hold
2023-04-14,124.58272286428996,1.0,buy,sell,buy,hold
2023-04-17,125.68680948313713,-1.0,sell,buy,sell,hold
2023-04-18,125.0597503981672,1.0,buy,buy,sell,hold
2023-04-19,125.33566313995563,1.0,buy,sell,buy,hold
2023-04-19,125.26117392756956,0.0,hold,buy,sell,hold
2023-04-19,125.79574874017531,-1.0,sell,sell,buy,hold
2023-04-20,126.05843870610687,0.0,hold,buy,sell,hold
2023-04-20,126.43237749600365,1.0,buy,buy,sell,hold
2023-04-21,127.09891426923875,1.0,buy,buy,sell,hold
2023-04-21,127.88006389311968,1.0,buy,buy,sell,hold
2023-04-21,128.45865697012766,0.0,hold,buy,sell,hold
2023-04-24,128.21025881842982,-1.0,sell,buy,sell,hold
2023-04-24,128.55049297801565,0.0,hold,sell,buy,hold
2023-04-25,128.29998505196536,-1.0,sell,buy,sell,hold
2023-04-25,128.3888082778357,1.0,buy,sell,buy,hold
2023-04-27,128.27036299224446,0.0,hold,buy,sell,hold
2023-04-27,127.83155759880539,-1.0,sell,sell,buy,hold
2023-04-27,127.02124634579067,0.0,hold,sell,buy,hold
2023-05-04,127.60650242421278,0.0,hold,sell,buy,hold
2023-05-04,127.80328181567864,0.0,hold,buy,sell,hold
2023-05-04,127.60320414585888,-1.0,sell,buy,sell,hold
2023-05-05,126.7000452908405,-1.0,sell,sell,buy,hold
2023-05-05,127.28565505816987,0.0,hold,sell,buy,hold
